row_id,site,audio_id,seconds,birds
7019_COR_5,COR,7019,5,nocall
11254_COR_100,COR,11254,100,nocall
11254_COR_105,COR,11254,105,nocall
11254_COR_110,COR,11254,110,nocall
11254_COR_115,COR,11254,115,nocall
11254_COR_120,COR,11254,120,nocall
11254_COR_125,COR,11254,125,nocall
11254_COR_130,COR,11254,130,nocall
11254_COR_135,COR,11254,135,nocall
11254_COR_140,COR,11254,140,obnthr1
11254_COR_145,COR,11254,145,obnthr1
11254_COR_150,COR,11254,150,obnthr1
11254_COR_155,COR,11254,155,obnthr1
11254_COR_160,COR,11254,160,obnthr1
11254_COR_165,COR,11254,165,obnthr1
11254_COR_170,COR,11254,170,nocall
11254_COR_265,COR,11254,265,nocall
11254_COR_270,COR,11254,270,brnjay
11254_COR_275,COR,11254,275,brnjay sthwoo1
11254_COR_280,COR,11254,280,brnjay
11254_COR_285,COR,11254,285,nocall
